Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
,liwa-dune-tee,,,,,,,,SB-LIW-M-REG,,,M,,,Regular,,,,,149,,,TRUE,,,,,,shopify,25,DENY,220,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
,liwa-dune-tee,,,,,,,,SB-LIW-M-OVR,,,M,,,Oversized,,,,,149,,,TRUE,,,,,,shopify,25,DENY,220,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
,liwa-dune-tee,,,,,,,,SB-LIW-L-REG,,,L,,,Regular,,,,,149,,,TRUE,,,,,,shopify,25,DENY,220,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
,liwa-dune-tee,,,,,,,,SB-LIW-L-OVR,,,L,,,Oversized,,,,,149,,,TRUE,,,,,,shopify,25,DENY,220,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
,liwa-dune-tee,,,,,,,,SB-LIW-XL-REG,,,XL,,,Regular,,,,,149,,,TRUE,,,,,,shopify,25,DENY,220,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
,liwa-dune-tee,,,,,,,,SB-LIW-XL-OVR,,,XL,,,Oversized,,,,,149,,,TRUE,,,,,,shopify,25,DENY,220,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
Hajar Mountains Tee,hajar-mountain-tee,"A topographic line drawing of the peaks on the front; the red rock of the Hajar Mountains across the back. Organic cotton, made to layer.",Sahra & Beyond,Apparel & Accessories > Clothing > Clothing Tops > T-Shirts,T-Shirt,"place:Wadi Naqab, placeurl:wadi-naqab, theme:#C6BFD3",TRUE,Active,SB-WSH-S-REG,,Size,S,,Fit,Regular,,,,,149,,,TRUE,,,,,,shopify,25,DENY,220,g,TRUE,manual,https://www.sahraandbeyond.ae/shirts/design-taupe-front.jpg,1,Hajar Mountains Tee — front,,FALSE,Hajar Mountains Tee | Sahra & Beyond,Organic-cotton tee with a topographic drawing of the Hajar Mountains peaks. Made to layer. Regular & oversized fits.,gray,Apparel & Accessories > Clothing > Shirts & Tops,Unisex,Adult,,,,New,,,,,,
,hajar-mountain-tee,,,,,,,,SB-WSH-S-OVR,,,S,,,Oversized,,,,,149,,,TRUE,,,,,,shopify,25,DENY,220,g,TRUE,manual,https://www.sahraandbeyond.ae/shirts/design-taupe-back.jpg,2,Hajar Mountains Tee — back,,FALSE,,,,,,,,,,,,,,,,
,hajar-mountain-tee,,,,,,,,SB-WSH-M-REG,,,M,,,Regular,,,,,149,,,TRUE,,,,,,shopify,25,DENY,220,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
,hajar-mountain-tee,,,,,,,,SB-WSH-M-OVR,,,M,,,Oversized,,,,,149,,,TRUE,,,,,,shopify,25,DENY,220,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
,hajar-mountain-tee,,,,,,,,SB-WSH-L-REG,,,L,,,Regular,,,,,149,,,TRUE,,,,,,shopify,25,DENY,220,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
,hajar-mountain-tee,,,,,,,,SB-WSH-L-OVR,,,L,,,Oversized,,,,,149,,,TRUE,,,,,,shopify,25,DENY,220,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
,hajar-mountain-tee,,,,,,,,SB-WSH-XL-REG,,,XL,,,Regular,,,,,149,,,TRUE,,,,,,shopify,25,DENY,220,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
,hajar-mountain-tee,,,,,,,,SB-WSH-XL-OVR,,,XL,,,Oversized,,,,,149,,,TRUE,,,,,,shopify,25,DENY,220,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
